,close,high,low,open,volume
2018-12-31 15:40:10+00:00,67.3,67.34,67.3,67.33,32
2018-12-31 15:40:20+00:00,67.34,67.34,67.29,67.32,20
2018-12-31 15:40:30+00:00,67.35,67.35,67.34,67.34,2
2018-12-31 15:40:40+00:00,67.34,67.41,67.34,67.37,23
2018-12-31 15:40:50+00:00,67.33,67.33,67.32,67.33,11
2018-12-31 15:41:00+00:00,67.34,67.34,67.33,67.33,2
2018-12-31 15:41:10+00:00,67.36,67.37,67.36,67.36,15
2018-12-31 15:41:20+00:00,67.34,67.37,67.34,67.37,9
2018-12-31 15:41:30+00:00,67.36,67.36,67.34,67.34,3
2018-12-31 15:41:40+00:00,67.34,67.36,67.34,67.36,8
2018-12-31 15:41:50+00:00,67.35,67.36,67.35,67.35,15
2018-12-31 15:42:00+00:00,67.35,67.35,67.34,67.34,5
2018-12-31 15:42:10+00:00,67.35,67.35,67.35,67.35,1
2018-12-31 15:42:20+00:00,67.35,67.36,67.33,67.35,16
2018-12-31 15:42:30+00:00,67.37,67.37,67.36,67.36,4
2018-12-31 15:42:40+00:00,67.36,67.39,67.36,67.38,9
2018-12-31 15:42:50+00:00,67.36,67.36,67.36,67.36,0
2018-12-31 15:43:00+00:00,67.35,67.37,67.35,67.37,4
2018-12-31 15:43:10+00:00,67.33,67.34,67.33,67.34,2
2018-12-31 15:43:20+00:00,67.31,67.32,67.31,67.32,6
2018-12-31 15:43:30+00:00,67.33,67.33,67.31,67.31,10
2018-12-31 15:43:40+00:00,67.32,67.32,67.32,67.32,3
2018-12-31 15:43:50+00:00,67.34,67.34,67.33,67.33,11
2018-12-31 15:44:00+00:00,67.33,67.34,67.32,67.34,14
2018-12-31 15:44:10+00:00,67.34,67.34,67.33,67.34,12
2018-12-31 15:44:20+00:00,67.36,67.37,67.35,67.35,9
2018-12-31 15:44:30+00:00,67.35,67.37,67.34,67.36,28
2018-12-31 15:44:40+00:00,67.36,67.36,67.35,67.35,6
2018-12-31 15:44:50+00:00,67.34,67.34,67.34,67.34,1
2018-12-31 15:45:00+00:00,67.37,67.43,67.32,67.33,64
2018-12-31 15:45:10+00:00,67.37,67.38,67.36,67.38,13
2018-12-31 15:45:20+00:00,67.36,67.36,67.35,67.35,8
2018-12-31 15:45:30+00:00,67.35,67.36,67.34,67.35,12
2018-12-31 15:45:40+00:00,67.35,67.36,67.34,67.34,13
2018-12-31 15:45:50+00:00,67.33,67.35,67.33,67.35,11
2018-12-31 15:46:00+00:00,67.33,67.33,67.32,67.32,16
2018-12-31 15:46:10+00:00,67.32,67.32,67.29,67.32,13
2018-12-31 15:46:20+00:00,67.31,67.32,67.31,67.31,10
2018-12-31 15:46:30+00:00,67.31,67.31,67.3,67.3,6
2018-12-31 15:46:40+00:00,67.3,67.3,67.3,67.3,3
2018-12-31 15:46:50+00:00,67.28,67.3,67.28,67.29,15
2018-12-31 15:47:00+00:00,67.28,67.28,67.27,67.27,2
2018-12-31 15:47:10+00:00,67.27,67.29,67.27,67.27,12
2018-12-31 15:47:20+00:00,67.26,67.26,67.25,67.26,13
2018-12-31 15:47:30+00:00,67.27,67.28,67.27,67.27,11
2018-12-31 15:47:40+00:00,67.25,67.27,67.24,67.27,18
2018-12-31 15:47:50+00:00,67.22,67.25,67.22,67.24,12
2018-12-31 15:48:00+00:00,67.22,67.25,67.22,67.23,20
2018-12-31 15:48:10+00:00,67.22,67.23,67.21,67.22,26
2018-12-31 15:48:20+00:00,67.21,67.21,67.21,67.21,11
2018-12-31 15:48:30+00:00,67.2,67.21,67.2,67.21,8
2018-12-31 15:48:40+00:00,67.21,67.21,67.21,67.21,8
2018-12-31 15:48:50+00:00,67.2,67.22,67.19,67.21,30
2018-12-31 15:49:00+00:00,67.15,67.19,67.15,67.19,43
2018-12-31 15:49:10+00:00,67.16,67.16,67.15,67.16,14
